FaceStream2, version: 1.6.0
Unknown argument: "2"
I0621 18:56:46.274150  5746 Tracker.cpp:590] minScoreOfSending      : 0.5187
I0621 18:56:46.274315  5746 Tracker.cpp:591] sendMode               : 0
I0621 18:56:46.274322  5746 Tracker.cpp:592] detectorStep           : 0
I0621 18:56:46.274324  5746 Tracker.cpp:593] minDetection           : 40
I0621 18:56:46.274327  5746 Tracker.cpp:594] detectorThreshs        : 0.5140.150.862
I0621 18:56:46.274333  5746 Tracker.cpp:595] scaleFactor            : 0.58
I0621 18:56:46.274336  5746 Tracker.cpp:597] numberOfFramesToIgnore : 36
I0621 18:56:46.274339  5746 Tracker.cpp:599] timePeriod             : 10
I0621 18:56:46.274343  5746 Tracker.cpp:600] timePeriod is repeat   : 0
I0621 18:56:46.274348  5746 Tracker.cpp:601] sendWarpingImage       : 1
I0621 18:56:46.274349  5746 Tracker.cpp:603] drawFacePoints         : 0
I0621 18:56:46.274353  5746 Tracker.cpp:604] showTrackerDet         : 0
I0621 18:56:46.274355  5746 Tracker.cpp:605] useFrg                 : 1
I0621 18:56:46.274358  5746 Tracker.cpp:607] dataPath               : ./data/
I0621 18:56:46.274360  5746 Tracker.cpp:608] log severity level     : 0
I0621 18:56:46.274363  5746 Tracker.cpp:609] log mode               : 2
I0621 18:56:46.274365  5746 Tracker.cpp:611] head-pose-estimator    : LNET
[21.06.2018 18:56:46] [Info]  [createFaceEngine] Creating FaceEngine Full
[0m[18:56:46.027][32m[flower][39m Initializing TBB task scheduler with 4 workers[0m
[0m[18:56:46.028][32m[flower][39m Initializing TBB task scheduler with 12 workers[0m
[HeadPoseEstimator] model loaded: ./data//angle_estimation_flwr_avx2.plan
I0621 18:56:46.299983  5746 Player.cpp:253] Start of the tracking process.
Input #0, rtsp, from 'rtsp://root:root@10.0.6.53:554/axis-media/media.amp':
  Metadata:
    title           : Session streamed with GStreamer
[m[0;33mW0621 18:56:47.441385  5790 BufferFS.h:42] skip frame
[m[0;33mW0621 18:56:47.446348  5790 BufferFS.h:42] skip frame
[m[0;33mW0621 18:56:47.451153  5790 BufferFS.h:42] skip frame
[m[0;33mW0621 18:56:47.466089  5790 BufferFS.h:42] skip frame
[mI0621 18:56:47.484179  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.489826  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.493269  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.496529  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.499866  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.503129  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.506348  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.509670  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.513020  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.516719  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.521267  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.535251  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.558966  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.571979  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.595017  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.628607  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.664512  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.679268  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.693946  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.728664  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.753345  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.779199  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.796646  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.831369  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.856132  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.881960  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.896641  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.931387  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.956111  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.980923  5789 Tracker.cpp:384] Full detection.
I0621 18:56:47.995566  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.031076  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.055858  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.080569  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.095198  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.140234  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.156671  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.201483  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.205368  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.229261  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.263495  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.279264  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.293908  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.331467  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.357223  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.372007  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.396705  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.431524  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.456341  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.472059  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.496829  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.531685  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.557469  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.572134  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.597898  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.632647  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.657450  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.672158  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.696833  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.731678  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.756490  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.782320  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.797022  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.831764  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.859424  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.875118  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.900851  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.935534  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.950269  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.975035  5789 Tracker.cpp:384] Full detection.
I0621 18:56:48.999799  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.034559  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.049283  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.084213  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.098896  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.133606  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.148308  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.183146  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.197870  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.232635  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.257393  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.283133  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.298816  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.333528  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.358347  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.385994  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.400640  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.436400  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.451118  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.475813  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.500723  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.535425  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.551152  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.575850  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.600625  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.635505  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.652101  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.677906  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.702775  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.757688  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.762517  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.768904  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.792838  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.837116  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.861933  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.876585  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.895117  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.939991  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.954658  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.979382  5789 Tracker.cpp:384] Full detection.
I0621 18:56:49.994035  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.038889  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.054587  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.079372  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.094002  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.138839  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.153548  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.168365  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.203151  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.237988  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.253724  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.268388  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.303258  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.338169  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.353905  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.369688  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.404510  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.442207  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.456938  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.472612  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.498451  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.543454  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.558172  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.573210  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.587829  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.643838  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.658534  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.674211  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.688848  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.743860  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.758553  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.774047  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.789746  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.844686  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.859414  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.874094  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.888672  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.943653  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.961158  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.975852  5789 Tracker.cpp:384] Full detection.
I0621 18:56:50.991623  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.036455  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.061257  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.076933  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.101660  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.126404  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.161245  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.175940  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.191576  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.227602  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.250856  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.294157  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.297361  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.331182  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.354583  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.370731  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.386368  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.441272  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.456053  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.474689  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.490970  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.525965  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.549906  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.563169  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.596575  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.630672  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.655469  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.680335  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.695096  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.729876  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.754618  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.780516  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.796335  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.831236  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.856103  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.880939  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.895691  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.930526  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.955305  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.980137  5789 Tracker.cpp:384] Full detection.
I0621 18:56:51.997712  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.032500  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.057382  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.073108  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.098860  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.133666  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.158498  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.173218  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.197932  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.232708  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.258510  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.273525  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.298277  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.333127  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.359046  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.374835  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.399665  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.434507  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.459327  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.474017  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.498749  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.536427  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.561244  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.575909  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.600575  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.635407  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.660262  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.685047  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.699669  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.734390  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.749097  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.773802  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.798511  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.853507  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.867781  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.881795  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.895766  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.929939  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.964711  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.979429  5789 Tracker.cpp:384] Full detection.
I0621 18:56:52.994096  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.038893  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.066507  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.081172  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.096858  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.131628  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.156373  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.182178  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.196866  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.232646  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.258114  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.282892  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.297554  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.342293  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.356971  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.371562  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.396296  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.441236  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.456921  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.472625  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.497308  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.542330  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.557034  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.575598  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.590225  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.645223  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.659945  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.674603  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.690320  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.735229  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.761054  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.775671  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.790225  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.836164  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.862020  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.876693  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.892304  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.927042  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.960999  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.975098  5789 Tracker.cpp:384] Full detection.
I0621 18:56:53.999387  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.044395  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.059152  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.073813  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.091285  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.136102  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.161911  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.177752  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.192409  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.237255  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.262042  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.276715  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.291429  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.336760  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.361625  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.397398  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.400897  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.434201  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.447404  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.480576  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.495296  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.530078  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.564975  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.579743  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.594369  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.631870  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.657660  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.683456  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.698083  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.733175  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.747872  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.783731  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.798463  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.833227  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.848014  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.882652  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.897361  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.932149  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.956893  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.982578  5789 Tracker.cpp:384] Full detection.
I0621 18:56:54.997261  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.031141  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.055660  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.081499  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.096132  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.132081  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.149619  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.184402  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.199117  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.233860  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.249467  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.284287  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.298985  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.333729  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.348601  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.384362  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.398386  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.432469  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.447101  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.481822  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.496491  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.531410  5789 Tracker.cpp:384] Full detection.
I0621 18:56:55.566323  5789 Tracker.cpp:384] Full detection.
