FaceStream2, version: 1.6.0
Unknown argument: "2"
I0621 18:47:13.380610 29872 Tracker.cpp:590] minScoreOfSending      : 0.5187
I0621 18:47:13.380750 29872 Tracker.cpp:591] sendMode               : 0
I0621 18:47:13.380756 29872 Tracker.cpp:592] detectorStep           : 0
I0621 18:47:13.380759 29872 Tracker.cpp:593] minDetection           : 80
I0621 18:47:13.380762 29872 Tracker.cpp:594] detectorThreshs        : 0.5140.150.862
I0621 18:47:13.380767 29872 Tracker.cpp:595] scaleFactor            : 0.58
I0621 18:47:13.380772 29872 Tracker.cpp:597] numberOfFramesToIgnore : 36
I0621 18:47:13.380775 29872 Tracker.cpp:599] timePeriod             : 10
I0621 18:47:13.380777 29872 Tracker.cpp:600] timePeriod is repeat   : 0
I0621 18:47:13.380782 29872 Tracker.cpp:601] sendWarpingImage       : 1
I0621 18:47:13.380784 29872 Tracker.cpp:603] drawFacePoints         : 0
I0621 18:47:13.380787 29872 Tracker.cpp:604] showTrackerDet         : 0
I0621 18:47:13.380790 29872 Tracker.cpp:605] useFrg                 : 1
I0621 18:47:13.380792 29872 Tracker.cpp:607] dataPath               : ./data/
I0621 18:47:13.380795 29872 Tracker.cpp:608] log severity level     : 0
I0621 18:47:13.380798 29872 Tracker.cpp:609] log mode               : 2
I0621 18:47:13.380800 29872 Tracker.cpp:611] head-pose-estimator    : LNET
[21.06.2018 18:47:13] [Info]  [createFaceEngine] Creating FaceEngine Full
[0m[18:47:13.038][32m[flower][39m Initializing TBB task scheduler with 4 workers[0m
[0m[18:47:13.040][32m[flower][39m Num CUDA-capable devices: 1[0m
[m[0;33mW0621 18:47:17.895184 29924 BufferFS.h:42] skip frame
[m[0;33mW0621 18:47:17.899914 29924 BufferFS.h:42] skip frame
[m[0;33mW0621 18:47:17.905458 29924 BufferFS.h:42] skip frame
[m[0;33mW0621 18:47:17.910470 29924 BufferFS.h:42] skip frame
[mI0621 18:47:17.914620 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.918265 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.922134 29923 Tracker.cpp:384] Full detection.
[0;33mW0621 18:47:17.930136 29924 BufferFS.h:42] skip frame
[mI0621 18:47:17.930168 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.935755 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.939179 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.942581 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.946203 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.949672 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.953120 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.956424 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.959936 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.963346 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.966747 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.970530 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.973923 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.976697 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.979452 29923 Tracker.cpp:384] Full detection.
I0621 18:47:17.982219 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.005208 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.048516 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.083039 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.107878 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.142740 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.187710 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.215528 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.250473 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.275274 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.320258 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.345753 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.380802 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.415683 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.450597 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.486568 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.512512 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.547474 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.572315 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.617393 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.642253 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.677155 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.722146 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.747018 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.781944 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.806732 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.851708 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.886636 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.914294 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.949308 29923 Tracker.cpp:384] Full detection.
I0621 18:47:18.984233 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.019134 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.043965 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.079874 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.114805 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.149744 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.184532 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.209347 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.254402 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.279309 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.314134 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.359189 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.363833 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.418658 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.443482 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.458221 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.484076 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.508853 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.553823 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.581578 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.646752 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.651525 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.677302 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.722332 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.747292 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.782173 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.817057 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.852016 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.876832 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.943156 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.948887 29923 Tracker.cpp:384] Full detection.
I0621 18:47:19.983579 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.018466 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.043347 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.088279 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.153451 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.156424 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.179540 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.212993 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.237506 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.276386 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.321440 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.346292 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.381271 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.416206 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.451148 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.486052 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.510897 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.555780 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.580618 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.615527 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.640367 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.685379 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.720314 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.746153 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.780386 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.825424 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.851358 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.886219 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.912075 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.946964 29923 Tracker.cpp:384] Full detection.
I0621 18:47:20.975527 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.020589 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.055537 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.080399 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.115429 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.151397 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.186385 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.212204 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.247156 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.293228 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.318059 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.352999 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.377540 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.412011 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.456991 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.481909 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.516839 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.541530 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.586591 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.621490 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.646378 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.684120 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.719007 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.753913 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.778704 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.813587 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.848510 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.883456 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.918498 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.944437 29923 Tracker.cpp:384] Full detection.
I0621 18:47:21.989470 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.014282 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.049165 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.084111 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.119009 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.154006 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.178865 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.223929 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.269290 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.285081 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.310093 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.355109 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.382902 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.418869 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.453742 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.478588 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.523583 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.548498 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.583427 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.618423 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.653337 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.689251 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.714268 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.749208 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.784127 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.819092 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.843930 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.888972 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.913765 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.948601 29923 Tracker.cpp:384] Full detection.
I0621 18:47:22.983469 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.019431 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.054388 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.082151 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.117048 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.153017 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.187930 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.222797 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.247601 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.292636 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.348841 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.352677 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.385788 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.419157 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.443990 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.488983 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.523937 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.549883 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.584758 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.609549 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.653863 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.688088 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.723079 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.747898 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.785904 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.820767 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.856649 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.882226 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.917130 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.952011 29923 Tracker.cpp:384] Full detection.
I0621 18:47:23.986933 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.021929 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.046710 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.091675 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.126579 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.151412 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.196386 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.222321 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.257160 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.282022 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.327033 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.351981 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.386929 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.421784 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.456686 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.484441 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.519390 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.554302 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.589223 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.624218 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.659144 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.684994 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.730026 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.754917 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.789834 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.824800 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.859663 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.884510 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.919356 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.954274 29923 Tracker.cpp:384] Full detection.
I0621 18:47:24.989229 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.014107 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.050006 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.095017 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.120133 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.155066 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.192798 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.217717 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.262706 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.287668 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.322540 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.357481 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.392424 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.417318 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.452306 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.487283 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.522191 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.547169 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.592201 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.627208 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.652046 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.687019 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.732079 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.758026 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.792909 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.817840 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.862818 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.882611 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.927487 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.952407 29923 Tracker.cpp:384] Full detection.
I0621 18:47:25.987330 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.032375 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.058331 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.083163 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.118067 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.163075 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.198083 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.223031 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.258931 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.294890 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.329850 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.354706 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.389987 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.424921 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.459808 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.494751 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.549845 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.553869 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.579213 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.612550 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.656240 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.691192 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.716079 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.761209 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.786128 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.821089 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.845919 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.890981 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.936059 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.951930 29923 Tracker.cpp:384] Full detection.
I0621 18:47:26.986099 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.020440 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.055388 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.090361 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.125324 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.160255 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.186051 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.220969 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.255941 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.293792 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.328655 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.353610 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.388507 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.423398 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.458377 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.483233 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.528275 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.554103 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.590006 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.624979 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.659926 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.694902 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.719722 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.754686 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.789572 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.824496 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.859417 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.894330 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.931514 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.956496 29923 Tracker.cpp:384] Full detection.
I0621 18:47:27.994289 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.019183 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.064187 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.089087 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.124029 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.148931 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.194021 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.228971 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.254498 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.291079 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.326082 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.360991 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.386487 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.422466 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.447984 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.493711 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.529392 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.555263 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.590904 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.616572 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.663271 29923 Tracker.cpp:384] Full detection.
